,tweet
165,It’s better if you wear YELLOW ma’am. It fits you nicely. 😊 😂🤣#LENIDUWAG #BBMparasalahat #UniTeamBBMSARA
166,@paulsoriano1017 Go fight win Toni G 💖  #BBMForPresident #UniTeamBBMSARA
167,Hindi nila kayang tanggapin ang mapait na katotohanan na talo sila. BBM &amp; SARA lang ang sakalam!  #UniTeamBBMSARA  #BBMSARA2022
168,#BBMForPresident  #BBMIsMyPresident2022  #SaraIsMyVicePresident2022  #BBMSARA2022  #UniTeamBBMSARA
169,"@DuterteSara Ganda, their loss for absence  ❤️💚  #BBMForPresident  #BBMSARA2022  #BBM  #UniteamBBMSara2022  #UniTeamBBMSARA  #BBMSARAH2022  #BBMSara  #BBMSaraUNITEAM  #BBMSARA2022  #BBMParaSaLahat #WeAreForBBMSARA  #WeChooseMarcos #KayMarcosTayo #H"
170,Happy BBM-SARA Day! ❤💚  #UniTeamBBMSARA  https://t.co/vvDUZJy1gP
171,THE ROAD TO UNITY. #BBMSARAlangSakalam  The Uniteam Song  https://t.co/Muu2BFD5gD via @FacebookWatch
172,BBM mission complete BBM supported by SMNI network group(owned and managed by master child baiter Quiboloy) has now united all presidential candidates to not attend the SMNI Presidential Debate #TheNort #BBMSARALangSakalam #UnitedPH #LENIDUWAG
173,At least nag effort sila😎. Bus loads of kakampinks from Laguna? grabe pinanggalingan. #BBMSaraLangSakalam  https://t.co/qdePKV2h2K
174,@jakenasolloria @agot_isidro #BBMSARAlangsakalam
175,#UNiTeamBBMSARA #Bbmsaralangsakalam
176,#BBMSARALangSakalam
177,"@Scezar4 @PinoyAkoBlog huwag kami hoyy! kasi ang bbm sara consistent sa dami ng supporters mula sa caravan, sa mga interviews at sa mga surveys #bbmsaralangsakalam #BBMSARA2022"
178,#BBMSaraUniteam2022 #BangonBayanMuli #mahalinnatinangpilipinas   👉Tama tlaga c TP...This is the first Debate...ung mga previous talks are just interviews...please watch   https://t.co/5bMDyNoxHk
179,"@AdreYannie @Marcos_latta Mga kakampink lipat na kyo kay BBM, kita nyo sinabihan pa nya kyo ng I Love You kahit ang bastos nyo. Di paris ng Ina nyo may gusto makipag selfie pinalayas. #CancelLenLenOnMay9 #BBMSaraUniteam2022"
